unit,age,sex,severity,geo\time	2013 	2012 	2011 	2010 	2009 	2008 
RT_SINC,Y18-24,UNK,GE_D4,PT	: 	0 	0 	0 	0 	: 
RT_SINC,Y18-24,UNK,GE_D4,RO	: 	0 	0 	0 	0 	0 
RT_SINC,Y18-24,UNK,GE_D4,SE	0 	0 	0 	0 	0 	0 
RT_SINC,Y18-24,UNK,GE_D4,SI	: 	0 	0 	0 	0 	0 
RT_SINC,Y18-24,UNK,GE_D4,SK	: 	0 	0 	0 	0 	0 
RT_SINC,Y18-24,UNK,GE_D4,UK	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,AT	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,BE	: 	0 	0 	0.78 	0 	0.35 
RT_SINC,Y25-34,F,FATALITY,BG	: 	0 	0 	2.47 	0 	0.59 
RT_SINC,Y25-34,F,FATALITY,CH	0 	0 	0.54 	0.32 	0 	0 
RT_SINC,Y25-34,F,FATALITY,CY	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,CZ	: 	0 	0 	0.72 	0.45 	0 
RT_SINC,Y25-34,F,FATALITY,DE	0 	0.13 	0.05 	0.07 	0.04 	0.25 
RT_SINC,Y25-34,F,FATALITY,DK	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,EE	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,EL	: 	0 	0 	0.38 	0 	0 
RT_SINC,Y25-34,F,FATALITY,ES	: 	0 	0.42 	0.17 	0.18 	0.13 
RT_SINC,Y25-34,F,FATALITY,EU15	: 	0.11 	0.12 	0.21 	0.15 	0.2 
RT_SINC,Y25-34,F,FATALITY,EU27	: 	0.11 	0.1 	0.27 	0.24 	0.24 
RT_SINC,Y25-34,F,FATALITY,EU28	: 	0.11 	0.11 	0.27 	0.24 	: 
RT_SINC,Y25-34,F,FATALITY,FI	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,FR	: 	0.4 	0.22 	0.35 	0.26 	0.06 
RT_SINC,Y25-34,F,FATALITY,HR	: 	0 	0.92 	0 	: 	: 
RT_SINC,Y25-34,F,FATALITY,HU	: 	0 	0 	0.21 	0.24 	0.21 
RT_SINC,Y25-34,F,FATALITY,IE	: 	0 	0 	0 	0.6 	0 
RT_SINC,Y25-34,F,FATALITY,IS	: 	0 	: 	: 	: 	: 
RT_SINC,Y25-34,F,FATALITY,IT	: 	0 	0.08 	0.29 	0.08 	0.15 
RT_SINC,Y25-34,F,FATALITY,LT	: 	0 	0 	0 	0.72 	0 
RT_SINC,Y25-34,F,FATALITY,LU	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,LV	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,MT	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,NL	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,NO	: 	: 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,PL	: 	0.1 	0 	0.07 	1.13 	0.38 
RT_SINC,Y25-34,F,FATALITY,PT	: 	0.42 	0.33 	0.5 	0.16 	: 
RT_SINC,Y25-34,F,FATALITY,RO	: 	0.15 	0.34 	1.03 	0.67 	0.52 
RT_SINC,Y25-34,F,FATALITY,SE	0 	1 	0 	0.83 	0 	0 
RT_SINC,Y25-34,F,FATALITY,SI	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,F,FATALITY,SK	: 	0 	0.34 	0.23 	0 	0 
RT_SINC,Y25-34,F,FATALITY,UK	: 	0 	0 	0 	0.31 	0 
RT_SINC,Y25-34,F,GE_D4,AT	: 	603.45 	711.99 	665.16 	629.04 	652.46 
RT_SINC,Y25-34,F,GE_D4,BE	: 	978.44 	1077.53 	1011.5 	951.56 	1198.59 
RT_SINC,Y25-34,F,GE_D4,BG	: 	25.67 	21.59 	38.22 	26.56 	35.87 
RT_SINC,Y25-34,F,GE_D4,CH	1197.05 	1086.97 	931.16 	1159.98 	941.86 	1277.76 
RT_SINC,Y25-34,F,GE_D4,CY	288.51 	208.65 	399.45 	429.78 	308.49 	388.01 
RT_SINC,Y25-34,F,GE_D4,CZ	: 	537.52 	583.06 	697.58 	733.55 	1068.27 
RT_SINC,Y25-34,F,GE_D4,DE	874.57 	824.6 	855.62 	848.66 	820.4 	1093.38 
RT_SINC,Y25-34,F,GE_D4,DK	: 	917.39 	1128.9 	1330.85 	1220.88 	1571.77 
RT_SINC,Y25-34,F,GE_D4,EE	: 	710.37 	797.48 	722.82 	486.14 	402.49 
RT_SINC,Y25-34,F,GE_D4,EL	: 	326.66 	283.26 	240.84 	293.06 	440.06 
RT_SINC,Y25-34,F,GE_D4,ES	: 	1386.13 	1772.1 	1797.55 	1922.5 	2420.15 
RT_SINC,Y25-34,F,GE_D4,EU15	: 	885.21 	1091.04 	1167.89 	1095.34 	1284.39 
RT_SINC,Y25-34,F,GE_D4,EU27	: 	725.47 	881.85 	964.88 	932.93 	1034.83 
RT_SINC,Y25-34,F,GE_D4,EU28	: 	724.74 	880.63 	962.27 	919.95 	: 
RT_SINC,Y25-34,F,GE_D4,FI	: 	25.74 	1082.59 	1285.15 	1123.2 	1356.06 
RT_SINC,Y25-34,F,GE_D4,FR	: 	1193.63 	2144.37 	2308.34 	1842.01 	2033.17 
RT_SINC,Y25-34,F,GE_D4,HR	: 	603.99 	660.1 	630.18 	: 	: 
RT_SINC,Y25-34,F,GE_D4,HU	: 	337.08 	283.94 	324.83 	290.21 	391.43 
RT_SINC,Y25-34,F,GE_D4,IE	: 	748.66 	604.66 	687.25 	433.74 	490.77 
RT_SINC,Y25-34,F,GE_D4,IS	: 	509.93 	: 	: 	: 	: 
RT_SINC,Y25-34,F,GE_D4,IT	: 	613.91 	782.46 	896.58 	894.44 	968.28 
RT_SINC,Y25-34,F,GE_D4,LT	: 	111.64 	99.6 	79.9 	65.03 	92.55 
RT_SINC,Y25-34,F,GE_D4,LU	: 	901.37 	792.3 	970.82 	986.42 	1126.81 
RT_SINC,Y25-34,F,GE_D4,LV	: 	67.69 	64.48 	47.99 	62.64 	59.09 
RT_SINC,Y25-34,F,GE_D4,MT	556.11 	620.33 	475.5 	568.02 	470.14 	609.57 
RT_SINC,Y25-34,F,GE_D4,NL	: 	1469.5 	2184.22 	1437.37 	1269.6 	2937.54 
RT_SINC,Y25-34,F,GE_D4,NO	: 	: 	0 	0 	0 	0 
RT_SINC,Y25-34,F,GE_D4,PL	: 	362.82 	331.79 	343.16 	627.81 	346.5 
RT_SINC,Y25-34,F,GE_D4,PT	: 	1926.36 	1640.3 	1684.17 	1577.89 	: 
RT_SINC,Y25-34,F,GE_D4,RO	: 	25.47 	19.97 	34.46 	19.61 	26.11 
RT_SINC,Y25-34,F,GE_D4,SE	505.61 	597.97 	491.49 	458.97 	515.81 	567.33 
RT_SINC,Y25-34,F,GE_D4,SI	: 	838.24 	958.42 	911.01 	938.5 	1058.28 
RT_SINC,Y25-34,F,GE_D4,SK	: 	194.37 	167.7 	241.34 	213.22 	285.52 
RT_SINC,Y25-34,F,GE_D4,UK	: 	372.83 	413.21 	418.89 	465.51 	405.12 
RT_SINC,Y25-34,M,FATALITY,AT	: 	2.99 	1.54 	2.34 	2.43 	0 
RT_SINC,Y25-34,M,FATALITY,BE	: 	1.5 	1.22 	2.83 	1.78 	4.09 
RT_SINC,Y25-34,M,FATALITY,BG	: 	1.41 	2.11 	2.6 	2.88 	5.48 
RT_SINC,Y25-34,M,FATALITY,CH	1.16 	4.31 	0.6 	2.64 	1.1 	4.07 
RT_SINC,Y25-34,M,FATALITY,CY	0 	1.55 	7.53 	4.58 	0 	5.64 
RT_SINC,Y25-34,M,FATALITY,CZ	: 	2.37 	3.19 	1.73 	1.2 	2.28 
RT_SINC,Y25-34,M,FATALITY,DE	0.96 	1.01 	1.39 	0.95 	0.61 	1.45 
RT_SINC,Y25-34,M,FATALITY,DK	: 	0.72 	4.92 	0 	0.4 	0.65 
RT_SINC,Y25-34,M,FATALITY,EE	: 	1.86 	8.19 	0.95 	0 	3.61 
RT_SINC,Y25-34,M,FATALITY,EL	: 	0.29 	1.09 	0.17 	1.31 	3.3 
RT_SINC,Y25-34,M,FATALITY,ES	: 	2.23 	2.23 	2.19 	2.14 	3.94 
RT_SINC,Y25-34,M,FATALITY,EU15	: 	1.35 	1.61 	1.87 	1.89 	2.26 
RT_SINC,Y25-34,M,FATALITY,EU27	: 	1.4 	1.73 	2.14 	2.27 	2.67 
RT_SINC,Y25-34,M,FATALITY,EU28	: 	1.44 	1.72 	2.14 	2.22 	: 
RT_SINC,Y25-34,M,FATALITY,FI	: 	0 	0.95 	1.79 	1.54 	0 
RT_SINC,Y25-34,M,FATALITY,FR	: 	1.66 	2.65 	1.87 	1.53 	0.38 
RT_SINC,Y25-34,M,FATALITY,HR	: 	6.41 	0 	3.16 	: 	: 
RT_SINC,Y25-34,M,FATALITY,HU	: 	1.41 	2.43 	1.99 	1.94 	2.84 
RT_SINC,Y25-34,M,FATALITY,IE	: 	1.6 	2.71 	2.22 	3.5 	0 
RT_SINC,Y25-34,M,FATALITY,IS	: 	0 	: 	: 	: 	: 
RT_SINC,Y25-34,M,FATALITY,IT	: 	1.22 	1.47 	1.82 	2.47 	2.37 
RT_SINC,Y25-34,M,FATALITY,LT	: 	1.62 	2.43 	3.56 	3.1 	4.94 
RT_SINC,Y25-34,M,FATALITY,LU	: 	0 	0 	5.21 	3.1 	0 
RT_SINC,Y25-34,M,FATALITY,LV	: 	4.67 	5.9 	3.07 	8.21 	3.73 
RT_SINC,Y25-34,M,FATALITY,MT	0 	4.68 	0 	7.71 	0 	0 
RT_SINC,Y25-34,M,FATALITY,NL	: 	0.63 	1.57 	0 	1.2 	0 
RT_SINC,Y25-34,M,FATALITY,NO	: 	: 	0 	0 	0 	0 
RT_SINC,Y25-34,M,FATALITY,PL	: 	1.16 	1.36 	3.18 	5.47 	2.86 
RT_SINC,Y25-34,M,FATALITY,PT	: 	3.71 	3.19 	4.58 	3.51 	: 
RT_SINC,Y25-34,M,FATALITY,RO	: 	2.32 	13.09 	5.97 	4.42 	6.48 
RT_SINC,Y25-34,M,FATALITY,SE	0.94 	1.56 	0.48 	1.24 	1.38 	1.87 
RT_SINC,Y25-34,M,FATALITY,SI	: 	4.11 	0 	1.5 	4.35 	1.41 
RT_SINC,Y25-34,M,FATALITY,SK	: 	2.31 	0.41 	0 	0.13 	0 
RT_SINC,Y25-34,M,FATALITY,UK	: 	0.62 	0.99 	1.03 	0.68 	0.81 
RT_SINC,Y25-34,M,GE_D4,AT	: 	2755.56 	3191.65 	3063.43 	2962.45 	3320.23 
RT_SINC,Y25-34,M,GE_D4,BE	: 	2846.35 	3060.96 	2801.23 	2900.9 	4013.49 
RT_SINC,Y25-34,M,GE_D4,BG	: 	99.4 	111.19 	104.57 	132.81 	136.44 
RT_SINC,Y25-34,M,GE_D4,CH	4498.87 	3711.1 	3475.45 	4563.68 	3234.69 	5095.34 
RT_SINC,Y25-34,M,GE_D4,CY	911.39 	1110.96 	1306.45 	1336.22 	1274.18 	1486.37 
RT_SINC,Y25-34,M,GE_D4,CZ	: 	1158.88 	1136.43 	1642.86 	1691.22 	2602.12 
RT_SINC,Y25-34,M,GE_D4,DE	3103.71 	3093.91 	3372.03 	3082.18 	2817.04 	4284.44 
RT_SINC,Y25-34,M,GE_D4,DK	: 	2348.93 	2702.29 	2938.29 	2644.45 	3633.31 
RT_SINC,Y25-34,M,GE_D4,EE	: 	925.07 	978.27 	1055.44 	1060.63 	1461.5 
RT_SINC,Y25-34,M,GE_D4,EL	: 	814.11 	808.14 	791.44 	1059 	1692.26 
RT_SINC,Y25-34,M,GE_D4,ES	: 	3577.7 	4550.29 	4687.84 	5064.34 	6374.74 
RT_SINC,Y25-34,M,GE_D4,EU15	: 	2324.85 	2861.93 	2975.17 	2765.18 	3430.05 
RT_SINC,Y25-34,M,GE_D4,EU27	: 	1930.77 	2355.33 	2509.63 	2378.76 	2836.06 
RT_SINC,Y25-34,M,GE_D4,EU28	: 	1928.17 	2352.18 	2501.98 	2339.85 	: 
RT_SINC,Y25-34,M,GE_D4,FI	: 	136.43 	2829.77 	3005.9 	2723.37 	3540.53 
RT_SINC,Y25-34,M,GE_D4,FR	: 	2762.44 	5025.76 	5152.43 	3978.54 	4827.62 
RT_SINC,Y25-34,M,GE_D4,HR	: 	1589.41 	2020.36 	1407.11 	: 	: 
RT_SINC,Y25-34,M,GE_D4,HU	: 	598.12 	582.49 	628.09 	606.68 	856.99 
RT_SINC,Y25-34,M,GE_D4,IE	: 	1118.12 	1437.45 	1114.33 	654.5 	1091.31 
RT_SINC,Y25-34,M,GE_D4,IS	: 	1255.4 	: 	: 	: 	: 
RT_SINC,Y25-34,M,GE_D4,IT	: 	1610.44 	2002.32 	2206.95 	2317.89 	2705.86 
RT_SINC,Y25-34,M,GE_D4,LT	: 	344.72 	273.24 	290.85 	231.95 	287.89 
RT_SINC,Y25-34,M,GE_D4,LU	: 	2942.66 	2908.61 	3055.9 	3200.25 	4875.74 
RT_SINC,Y25-34,M,GE_D4,LV	: 	291.28 	251.73 	170.24 	183.19 	292.05 
RT_SINC,Y25-34,M,GE_D4,MT	2628.32 	2515.35 	1928.85 	3000.44 	2447.6 	3085.89 
RT_SINC,Y25-34,M,GE_D4,NL	: 	2896.92 	3368.77 	2518.64 	2333.03 	3411.56 
RT_SINC,Y25-34,M,GE_D4,NO	: 	: 	0 	0 	0 	0 
RT_SINC,Y25-34,M,GE_D4,PL	: 	819.47 	793.67 	935.61 	1472.8 	946.27 
RT_SINC,Y25-34,M,GE_D4,PT	: 	4515.27 	4104.07 	3827.62 	3932.82 	: 
RT_SINC,Y25-34,M,GE_D4,RO	: 	87.06 	193.67 	91.64 	60.19 	87.1 
RT_SINC,Y25-34,M,GE_D4,SE	893.59 	961.26 	923.08 	877.7 	849.81 	967.51 
RT_SINC,Y25-34,M,GE_D4,SI	: 	2598.87 	2880.31 	3089.3 	2665.24 	3257.23 
RT_SINC,Y25-34,M,GE_D4,SK	: 	492.59 	504.18 	516.62 	460.09 	623.23 
RT_SINC,Y25-34,M,GE_D4,UK	: 	905.9 	1031.93 	1001.29 	1067.94 	988.83 
RT_SINC,Y25-34,T,FATALITY,AT	: 	1.67 	0.93 	1.38 	1.48 	0 
RT_SINC,Y25-34,T,FATALITY,BE	: 	0.98 	0.81 	2.03 	1.15 	2.65 
RT_SINC,Y25-34,T,FATALITY,BG	: 	0.86 	1.13 	1.94 	1.69 	3.35 
RT_SINC,Y25-34,T,FATALITY,CH	0.73 	2.59 	0.59 	1.79 	0.72 	2.65 
RT_SINC,Y25-34,T,FATALITY,CY	0 	0.94 	4.63 	2.97 	0 	3.28 
RT_SINC,Y25-34,T,FATALITY,CZ	: 	1.55 	2.02 	1.35 	0.92 	1.42 
RT_SINC,Y25-34,T,FATALITY,DE	0.58 	0.68 	0.85 	0.62 	0.4 	0.97 
RT_SINC,Y25-34,T,FATALITY,DK	: 	0.46 	3.15 	0 	0.29 	0.41 
RT_SINC,Y25-34,T,FATALITY,EE	: 	1.1 	4.48 	0.64 	0 	2.08 
RT_SINC,Y25-34,T,FATALITY,EL	: 	0.18 	0.7 	0.27 	0.85 	2.15 
RT_SINC,Y25-34,T,FATALITY,ES	: 	1.35 	1.5 	1.36 	1.34 	2.26 
RT_SINC,Y25-34,T,FATALITY,EU15	: 	0.88 	1.05 	1.24 	1.24 	1.48 
RT_SINC,Y25-34,T,FATALITY,EU27	: 	0.89 	1.09 	1.41 	1.5 	1.72 
RT_SINC,Y25-34,T,FATALITY,EU28	: 	0.91 	1.09 	1.41 	1.47 	: 
RT_SINC,Y25-34,T,FATALITY,FI	: 	0 	0.62 	1.19 	0.98 	0 
RT_SINC,Y25-34,T,FATALITY,FR	: 	1.18 	1.74 	1.31 	1.08 	0.27 
RT_SINC,Y25-34,T,FATALITY,HR	: 	3.87 	0.45 	1.92 	: 	: 
RT_SINC,Y25-34,T,FATALITY,HU	: 	0.9 	1.42 	1.36 	1.35 	1.85 
RT_SINC,Y25-34,T,FATALITY,IE	: 	1.06 	1.5 	1.46 	2.53 	0 
RT_SINC,Y25-34,T,FATALITY,IS	: 	0 	: 	: 	: 	: 
RT_SINC,Y25-34,T,FATALITY,IT	: 	0.77 	0.94 	1.25 	1.56 	1.5 
RT_SINC,Y25-34,T,FATALITY,LT	: 	1.04 	1.41 	1.96 	2.11 	2.83 
RT_SINC,Y25-34,T,FATALITY,LU	: 	0 	0 	3.64 	2.02 	0 
RT_SINC,Y25-34,T,FATALITY,LV	: 	2.73 	3.54 	1.77 	4.77 	1.95 
RT_SINC,Y25-34,T,FATALITY,MT	0 	2.95 	0 	5.04 	0 	0 
RT_SINC,Y25-34,T,FATALITY,NL	: 	0.4 	1.03 	0 	0.77 	0 
RT_SINC,Y25-34,T,FATALITY,NO	: 	: 	0 	0 	0 	0 
RT_SINC,Y25-34,T,FATALITY,PL	: 	0.74 	0.81 	1.9 	3.8 	1.93 
RT_SINC,Y25-34,T,FATALITY,PT	: 	2.28 	1.95 	3.04 	2.17 	: 
RT_SINC,Y25-34,T,FATALITY,RO	: 	1.02 	2.39 	2.99 	2.72 	4.04 
RT_SINC,Y25-34,T,FATALITY,SE	0.59 	1.32 	0.3 	1.05 	0.93 	1.23 
RT_SINC,Y25-34,T,FATALITY,SI	: 	2.64 	0 	0.91 	2.79 	0.88 
RT_SINC,Y25-34,T,FATALITY,SK	: 	1.28 	0.37 	0.08 	0.08 	0 
RT_SINC,Y25-34,T,FATALITY,UK	: 	0.39 	0.64 	0.67 	0.53 	0.51 
RT_SINC,Y25-34,T,GE_D4,AT	: 	1814.6 	2220.27 	2117.74 	2030.85 	2263.7 
RT_SINC,Y25-34,T,GE_D4,BE	: 	2162.56 	2353.3 	2148 	2203.86 	3009.24 
RT_SINC,Y25-34,T,GE_D4,BG	: 	64.51 	69.5 	72.38 	84.11 	89.06 
RT_SINC,Y25-34,T,GE_D4,CH	3244.58 	2736.94 	2525.29 	3289.76 	2371.71 	3675.67 
RT_SINC,Y25-34,T,GE_D4,CY	671.39 	723.54 	957.51 	1013.25 	927.73 	1050.56 
RT_SINC,Y25-34,T,GE_D4,CZ	: 	919.38 	925.8 	1283.06 	1319.83 	2003.6 
RT_SINC,Y25-34,T,GE_D4,DE	2240.03 	2235.54 	2389.96 	2254.76 	2106.82 	3079.14 
RT_SINC,Y25-34,T,GE_D4,DK	: 	1835.9 	2103.51 	2273.69 	2091.45 	2829.45 
RT_SINC,Y25-34,T,GE_D4,EE	: 	846.88 	912.61 	919.53 	802.61 	987.08 
RT_SINC,Y25-34,T,GE_D4,EL	: 	614.05 	623.3 	591.33 	781.94 	1220.94 
RT_SINC,Y25-34,T,GE_D4,ES	: 	2681.61 	3413.11 	3492.54 	3767.06 	4784.01 
RT_SINC,Y25-34,T,GE_D4,EU15	: 	1785.32 	2196.02 	2295.7 	2146.4 	2621.28 
RT_SINC,Y25-34,T,GE_D4,EU27	: 	1457.83 	1779.21 	1908.59 	1830.2 	2137.62 
RT_SINC,Y25-34,T,GE_D4,EU28	: 	1456.01 	1776.8 	1902.92 	1801.06 	: 
RT_SINC,Y25-34,T,GE_D4,FI	: 	95.98 	2193.05 	2337.2 	2140.24 	2729.43 
RT_SINC,Y25-34,T,GE_D4,FR	: 	2167.93 	3932.92 	4081.92 	3208.93 	3798.58 
RT_SINC,Y25-34,T,GE_D4,HR	: 	1201.56 	1456.94 	1068.14 	: 	: 
RT_SINC,Y25-34,T,GE_D4,HU	: 	494.55 	460.53 	502.35 	479.99 	669.68 
RT_SINC,Y25-34,T,GE_D4,IE	: 	933.48 	1068.51 	906.01 	562.73 	870.13 
RT_SINC,Y25-34,T,GE_D4,IS	: 	1000.86 	: 	: 	: 	: 
RT_SINC,Y25-34,T,GE_D4,IT	: 	1233.98 	1534.27 	1696 	1760.38 	2028.14 
RT_SINC,Y25-34,T,GE_D4,LT	: 	235.07 	193.62 	180.7 	150.3 	193.1 
RT_SINC,Y25-34,T,GE_D4,LU	: 	2188.51 	2196.63 	2237.19 	2413.13 	3358.46 
RT_SINC,Y25-34,T,GE_D4,LV	: 	191.09 	175.85 	124.09 	132.77 	182.14 
RT_SINC,Y25-34,T,GE_D4,MT	1815.41 	1802.36 	1415.95 	1906.42 	1755.67 	2282.19 
RT_SINC,Y25-34,T,GE_D4,NL	: 	2333.3 	2893.55 	2129.93 	1935.23 	3147.96 
RT_SINC,Y25-34,T,GE_D4,NO	: 	: 	0 	0 	0 	0 
RT_SINC,Y25-34,T,GE_D4,PL	: 	636.58 	607.92 	690.91 	1142.79 	703.83 
RT_SINC,Y25-34,T,GE_D4,PT	: 	3351.63 	3055.28 	2918.43 	2920.93 	: 
RT_SINC,Y25-34,T,GE_D4,RO	: 	45.36 	54.56 	55.64 	41.04 	59.29 
RT_SINC,Y25-34,T,GE_D4,SE	763.28 	840.07 	774.12 	731.33 	739.16 	838.95 
RT_SINC,Y25-34,T,GE_D4,SI	: 	1912.53 	2117.26 	2111.08 	1975.14 	2350.76 
RT_SINC,Y25-34,T,GE_D4,SK	: 	362.61 	357.62 	406.79 	356.39 	481.89 
RT_SINC,Y25-34,T,GE_D4,UK	: 	715.07 	807.52 	795.41 	852.1 	785.87 
RT_SINC,Y25-34,UNK,FATALITY,AT	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,BE	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,BG	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,CH	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,CY	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,CZ	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,DE	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,DK	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,EE	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,EL	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,ES	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,EU15	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,EU27	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,EU28	: 	0 	0 	0 	0 	: 
RT_SINC,Y25-34,UNK,FATALITY,FI	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,FR	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,HR	: 	0 	0 	0 	: 	: 
RT_SINC,Y25-34,UNK,FATALITY,HU	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,IE	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,IS	: 	0 	: 	: 	: 	: 
RT_SINC,Y25-34,UNK,FATALITY,IT	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,LT	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,LU	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,LV	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,MT	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,NL	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,NO	: 	: 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,PL	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,PT	: 	0 	0 	0 	0 	: 
RT_SINC,Y25-34,UNK,FATALITY,RO	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,SE	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,SI	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,SK	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,FATALITY,UK	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,AT	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,BE	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,BG	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,CH	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,CY	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,CZ	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,DE	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,DK	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,EE	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,EL	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,ES	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,EU15	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,EU27	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,EU28	: 	0 	0 	0 	0 	: 
RT_SINC,Y25-34,UNK,GE_D4,FI	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,FR	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,HR	: 	0 	0 	0 	: 	: 
RT_SINC,Y25-34,UNK,GE_D4,HU	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,IE	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,IS	: 	0 	: 	: 	: 	: 
RT_SINC,Y25-34,UNK,GE_D4,IT	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,LT	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,LU	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,LV	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,MT	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,NL	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,NO	: 	: 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,PL	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,PT	: 	0 	0 	0 	0 	: 
RT_SINC,Y25-34,UNK,GE_D4,RO	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,SE	0 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,SI	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,SK	: 	0 	0 	0 	0 	0 
RT_SINC,Y25-34,UNK,GE_D4,UK	: 	0 	0 	0 	0 	0 
RT_SINC,Y35-44,F,FATALITY,AT	: 	0 	1.25 	0 	0.31 	0 
RT_SINC,Y35-44,F,FATALITY,BE	: 	0 	0 	0 	0 	0.36 
RT_SINC,Y35-44,F,FATALITY,BG	: 	0 	0 	0.51 	0.29 	0.15 
RT_SINC,Y35-44,F,FATALITY,CH	0 	0 	0 	0 	0 	0.54 
